,Age,DailyAchievement,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyAchievement,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyAchievement,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Incentive,RemoteWork
249,51,942,3,3,1,53,3,3,3,13116,22984,2,5,1,4,0,15,2,3,2,2,2,2,0,2
250,54,155,9,2,1,67,3,2,3,2897,22474,3,5,1,3,2,9,6,2,4,3,2,3,0,2
251,56,310,7,2,4,72,3,1,3,2339,3666,8,5,1,4,1,14,4,1,10,9,9,8,0,2
252,49,527,8,2,1,51,3,3,2,7403,22477,4,5,1,3,1,29,3,2,26,9,1,7,0,1
253,49,1313,11,4,4,80,3,2,4,4507,8191,3,6,1,3,0,8,1,4,5,1,0,4,0,3
254,54,928,20,4,4,31,3,2,3,4869,16885,3,6,1,4,0,20,4,2,4,3,0,3,0,4
255,58,390,1,4,4,32,1,2,3,5660,17056,2,7,1,4,1,12,2,3,5,3,1,2,0,2
256,51,1178,14,2,3,87,3,2,4,4936,14862,4,5,1,3,1,18,2,2,7,7,0,7,0,4
257,55,692,14,4,3,61,4,5,2,18722,13339,8,5,1,4,0,36,3,3,24,15,2,15,0,3
258,52,621,3,4,3,31,2,4,1,16856,10084,1,5,1,1,0,34,3,4,34,6,1,16,0,0
259,54,376,19,4,4,95,3,2,1,5485,22670,9,5,1,2,2,9,4,3,5,3,1,4,0,2
260,54,1082,2,4,3,41,2,3,3,10686,8392,6,5,1,2,1,13,4,3,9,4,7,0,0,2
261,52,322,28,2,4,59,4,4,3,13247,9731,2,5,1,2,1,24,3,2,5,3,0,2,0,4
262,18,544,3,2,2,70,3,1,4,1569,18420,1,6,1,3,0,0,2,4,0,0,0,0,0,3
263,34,618,3,1,1,45,3,2,4,7756,22266,0,11,3,3,0,7,1,2,6,2,0,4,3878,3
264,35,538,25,2,1,54,2,2,4,3681,14004,4,8,3,4,0,9,3,3,3,2,0,2,1840,5
265,57,405,1,2,2,93,4,2,3,4900,2721,0,18,4,1,1,13,2,2,12,9,2,8,0,4
266,27,155,4,3,2,87,4,2,2,6142,5174,1,14,4,2,1,6,0,3,6,2,0,3,0,3
267,26,1330,21,3,1,37,3,1,3,2377,19373,1,14,4,3,1,1,0,2,1,1,0,0,594,5
268,40,444,2,2,2,92,3,2,2,5677,4258,3,8,3,3,1,15,4,3,11,8,5,10,0,1
269,24,1206,17,1,4,41,2,2,3,4377,24117,1,9,3,2,2,5,6,3,4,2,3,2,2188,4
270,35,672,25,3,4,78,2,3,2,10903,9129,3,10,3,1,0,16,2,3,13,10,4,8,0,4
271,37,807,6,4,3,63,3,1,1,2073,23648,4,16,4,4,0,7,3,3,3,2,0,2,518,2
272,24,350,21,2,3,57,2,1,1,2296,10036,0,8,3,2,3,2,3,3,1,1,0,0,1148,4
273,53,1070,3,4,3,45,3,4,3,17584,21016,3,10,3,4,3,21,5,2,5,3,1,3,3432,3
274,39,1218,1,1,2,52,3,5,3,19197,8213,1,8,3,3,1,21,3,3,21,8,1,6,0,2
275,37,1231,21,2,3,54,3,1,4,2973,21222,5,9,3,2,1,10,3,3,5,4,0,0,1486,5
276,40,369,8,2,2,92,3,2,1,6516,5041,2,10,3,2,1,18,3,3,1,0,0,0,0,3
277,51,1302,2,3,4,84,1,2,2,5482,16321,5,12,3,4,1,13,3,3,4,1,1,2,2741,1
278,49,809,1,3,3,36,3,4,3,15379,22384,4,8,3,1,0,23,2,3,8,7,0,0,7005,1
279,34,810,8,2,2,92,4,2,3,6799,22128,1,15,4,3,2,10,5,3,10,8,4,8,3399,4
280,59,818,6,2,2,52,3,1,3,2267,25657,8,11,3,4,0,7,2,2,2,2,2,2,1133,4
281,46,526,1,2,2,92,3,3,1,10453,2137,1,19,4,3,3,24,2,3,24,13,15,7,0,1
282,31,798,7,2,3,48,2,3,3,8943,14034,1,18,4,1,1,10,2,3,10,9,8,9,4471,3
283,53,868,8,3,1,73,3,4,4,11836,22789,5,8,3,3,1,28,3,3,2,0,2,2,5918,4
284,41,896,6,3,4,75,3,3,4,13591,14674,3,12,3,3,0,16,3,3,1,0,0,0,1083,4
285,44,1199,4,2,3,92,4,5,1,19190,17477,1,8,3,4,2,26,4,2,25,9,14,13,0,0
286,30,448,12,4,2,74,2,1,1,2033,14470,1,12,3,3,1,1,2,4,1,0,0,0,508,2
287,32,1311,7,3,2,100,4,1,2,2794,26062,1,14,4,3,0,5,3,1,5,1,0,3,1397,2
288,55,836,8,3,4,33,3,4,3,14756,19730,2,8,3,3,3,21,2,3,5,0,0,2,4974,3
289,35,303,27,3,3,84,3,2,4,5813,13492,1,12,3,4,0,10,2,3,10,7,7,7,1453,5
290,28,866,5,3,4,84,3,2,1,8463,23490,0,12,3,4,0,6,4,3,5,4,1,3,4231,2
291,41,549,7,2,4,42,3,2,3,5003,23371,6,8,3,2,0,8,6,3,2,2,2,1,2501,3
292,40,1308,14,3,3,44,2,5,3,19626,17544,1,8,3,1,0,21,2,4,20,7,4,9,0,4
293,19,303,2,3,2,47,2,1,4,1102,9241,1,16,4,3,0,1,3,2,1,0,1,0,275,3
294,41,642,1,3,4,76,3,1,4,2782,21412,3,16,4,1,1,12,3,3,5,3,1,0,1391,3
295,53,346,6,3,4,86,3,2,4,2450,10919,2,11,3,4,0,19,4,3,2,2,2,2,1225,4
296,23,638,9,3,4,33,3,1,1,1790,26956,1,13,4,1,1,1,3,2,1,0,1,0,447,3
297,55,836,2,4,2,98,2,1,4,2662,7975,8,14,4,2,1,19,2,4,5,2,0,4,1331,2
298,36,1213,2,1,2,94,2,2,4,3886,4223,1,15,4,4,0,10,2,2,10,1,0,8,337,3
299,50,939,24,3,4,95,3,4,3,13973,4161,3,12,3,4,1,22,2,3,12,11,1,5,0,4
300,49,1475,28,2,1,97,2,2,1,4284,22710,3,14,4,1,0,20,2,3,4,3,1,3,1071,5
301,24,1127,18,1,2,52,3,1,3,2774,13257,0,6,3,3,1,6,2,3,5,3,1,2,1387,4
302,38,395,9,3,2,98,2,1,2,2899,12102,0,13,4,4,1,3,3,3,2,2,1,2,1449,4
303,38,1206,9,2,2,71,3,1,4,4771,14293,2,13,4,4,2,10,0,4,5,2,0,3,2385,4
304,50,1452,11,3,3,53,3,5,2,19926,17053,3,9,3,2,0,21,5,3,5,4,4,4,0,2
305,30,946,2,3,3,52,2,2,4,6877,20234,5,18,4,2,0,12,4,2,0,0,0,0,3438,3
306,35,737,10,3,4,55,2,3,1,10306,21530,9,11,3,3,0,15,3,3,13,12,6,0,2576,1
307,25,977,2,1,4,57,3,1,3,3977,7298,6,13,3,3,1,7,2,2,2,2,0,2,1988,3
308,35,1395,9,4,2,48,3,2,3,5098,18698,1,13,4,2,0,10,5,3,10,7,0,8,2549,5
309,21,996,3,2,4,100,2,1,3,3230,10531,1,11,3,1,0,3,4,4,3,2,1,0,1615,3
310,23,310,10,1,1,79,4,1,3,3505,19630,1,12,3,4,0,2,3,3,2,2,0,2,1752,2
311,31,1062,24,3,3,96,2,2,1,6812,17198,1,13,4,2,0,10,2,3,10,9,1,8,3406,4
312,51,1150,8,4,1,53,1,3,4,10650,25150,2,9,3,4,0,18,2,3,4,2,0,3,2662,3
313,51,1169,7,4,2,34,2,2,3,6132,13983,2,11,3,3,0,10,2,3,1,0,0,0,3066,3
314,34,988,23,3,2,43,3,3,1,9950,11533,9,9,3,3,3,11,2,3,3,2,0,2,1583,2
315,55,147,20,2,2,37,3,2,4,5415,15972,3,13,3,4,1,12,4,3,10,7,0,8,2707,4
316,47,1169,14,4,3,64,3,2,2,5467,2125,8,12,3,3,1,16,4,4,8,7,1,7,0,2
317,27,1242,20,3,4,90,3,2,3,9981,12916,1,8,3,4,0,7,2,3,7,7,0,7,2935,4
318,47,1180,25,3,1,84,3,3,3,8633,13084,2,17,4,2,0,25,3,3,17,14,12,11,4316,5
319,30,464,4,3,3,40,3,1,4,2285,3427,9,17,4,3,0,3,4,3,1,0,0,0,571,3
320,28,895,15,2,1,50,3,1,3,2207,22482,1,10,3,4,1,4,5,2,4,2,2,2,1103,4
321,41,247,7,1,2,55,1,5,3,19973,20284,1,16,4,2,2,21,3,3,21,16,5,10,311,4
322,26,933,1,3,3,57,3,2,3,5296,20156,1,11,3,2,1,8,3,3,8,7,7,7,2648,3
323,37,370,10,4,4,58,3,2,1,4213,4992,1,9,3,2,0,10,4,1,10,3,0,8,779,2
324,30,330,1,3,3,46,3,1,3,2064,15428,0,15,4,1,1,6,3,4,5,3,1,3,1032,3
325,47,955,4,2,4,83,3,2,4,4163,8571,1,11,3,3,0,9,0,3,9,0,0,7,2081,2
326,34,234,9,4,4,93,3,2,1,5346,6208,4,11,3,3,1,11,3,2,7,1,0,7,862,2
327,35,1180,2,2,2,90,3,2,4,5762,24442,2,8,3,3,1,15,6,3,7,7,1,7,2881,4
328,44,1488,1,5,2,75,3,2,1,5454,4009,5,15,3,3,1,9,2,2,4,3,1,3,0,1
329,36,938,2,4,3,79,3,1,3,2519,12287,4,15,4,3,0,16,6,3,11,8,3,9,1259,3
330,32,1089,7,2,4,79,3,2,3,4883,22845,1,12,3,1,1,10,3,3,10,4,1,1,1220,3
331,20,805,3,3,1,87,2,1,3,3033,12828,1,6,3,1,0,2,2,2,2,2,1,2,1516,1
332,34,1326,3,3,4,81,1,2,1,4759,15891,3,12,3,4,0,15,2,3,13,9,3,12,2379,2
333,27,691,9,3,4,57,3,1,2,2024,5970,6,12,3,4,1,6,1,1,2,2,2,2,1012,2
334,36,1351,9,4,1,66,4,1,2,2810,9238,1,16,4,2,0,5,3,3,5,4,0,2,1405,3
335,49,271,3,2,3,43,2,2,1,4789,23070,4,19,4,1,1,10,3,3,3,2,1,2,2394,3
336,32,495,10,3,3,64,3,3,4,11244,21072,2,19,4,2,0,10,5,4,5,2,0,0,5622,5
337,27,1130,8,4,2,56,3,2,2,6214,3415,1,12,3,1,1,8,3,3,8,7,0,7,0,2
338,29,490,10,3,4,61,3,1,2,3291,17940,0,8,3,4,2,8,2,2,7,5,1,1,1645,1
339,56,1255,1,2,1,90,3,1,1,2066,10494,2,16,4,4,1,5,3,4,3,2,1,0,1033,2
340,59,1089,1,2,2,66,3,3,4,11904,11038,3,8,4,3,1,14,1,1,6,4,0,4,0,4
341,40,1202,2,1,2,89,4,2,3,6377,13888,5,14,4,2,3,15,0,3,12,11,11,8,3188,4
342,34,204,14,3,3,31,3,1,3,2579,2912,1,12,3,4,2,8,3,3,8,2,0,6,333,5
343,30,1465,1,3,4,63,3,1,2,3579,9369,0,15,4,1,1,12,2,3,11,9,5,7,1789,3
344,40,720,16,4,1,51,2,2,3,5094,11983,6,8,3,4,0,10,6,3,1,0,0,0,2547,4
345,44,381,24,3,1,49,1,1,3,3708,2104,2,8,3,3,0,9,5,3,5,2,1,4,0,5
346,35,1142,23,4,3,30,3,1,1,4014,16002,3,9,3,3,1,4,3,3,2,2,2,2,2007,3
347,31,1398,8,2,4,96,4,1,2,2109,24609,9,12,3,4,0,8,3,3,3,2,0,2,1054,2
348,30,201,5,3,4,84,3,1,1,3204,10415,5,8,3,4,1,8,3,3,3,2,2,2,1602,2
349,46,669,9,2,3,64,2,3,4,9619,13596,1,10,3,4,0,9,3,3,9,8,4,7,2404,3
350,35,1137,21,1,4,51,3,2,4,4014,19170,1,19,4,4,1,10,2,1,10,6,0,7,2007,5
351,40,1300,24,2,1,62,3,2,4,3319,24447,1,11,3,1,2,9,3,3,9,8,4,7,1659,5
352,56,1443,11,5,4,89,2,2,1,5380,20328,4,10,3,3,1,6,3,3,0,0,0,0,2690,2
353,24,897,10,3,1,59,3,1,4,2145,2097,0,8,3,4,1,3,2,3,2,2,2,1,0,3
354,38,1495,4,2,4,87,3,1,3,3306,26176,7,13,4,4,1,7,5,2,0,0,0,0,1653,4
355,39,439,9,3,3,70,3,2,2,6782,8770,9,9,3,3,0,9,2,2,5,4,0,3,1988,1
356,18,287,5,2,2,73,3,1,4,1051,13493,1,9,3,4,0,0,2,3,0,0,0,0,525,4
357,27,294,10,2,4,32,3,3,1,8793,4809,1,15,4,3,2,9,4,2,9,7,1,7,0,3
358,47,359,2,4,1,82,3,4,3,17169,26703,3,13,4,2,2,26,2,4,20,17,5,6,8584,3
359,46,1144,7,4,3,30,3,2,3,5258,16044,2,8,3,3,0,7,2,4,1,0,0,0,2629,3
360,45,1038,20,3,2,95,1,3,1,10851,19863,2,12,4,2,1,24,2,3,7,7,0,7,5425,4
361,39,170,3,2,3,76,2,2,3,3069,10302,0,9,3,4,1,11,3,3,10,8,0,7,1534,2
362,32,1018,3,2,3,39,3,3,4,11159,19373,3,9,3,4,0,10,6,3,7,7,7,7,5579,4
363,32,1373,5,4,4,56,2,2,4,9679,10138,8,18,4,2,0,8,1,3,1,0,0,0,459,4
364,33,536,10,5,4,82,4,3,3,8380,21708,0,8,3,4,2,10,3,3,9,8,0,8,4190,4
365,39,505,2,4,3,64,3,3,3,10938,6420,0,19,4,4,0,20,1,3,19,6,11,8,0,3
366,36,845,1,5,4,45,3,2,4,6653,15276,4,9,3,2,0,7,6,3,1,0,0,0,3326,2
367,45,336,26,3,1,52,2,2,1,4385,24162,1,9,3,1,1,10,2,3,10,7,4,5,2192,4
368,28,773,6,3,3,39,2,1,3,2703,22088,1,8,3,4,1,3,2,3,3,1,0,2,1351,2
369,44,920,24,3,4,43,3,1,3,3161,19920,3,16,4,4,1,19,0,1,1,0,0,0,790,4
370,42,1059,9,2,4,93,2,5,4,19613,26362,8,16,4,4,0,24,2,3,1,0,0,1,6749,5
371,39,466,1,1,4,65,2,4,4,12742,7060,1,10,3,3,1,21,3,3,21,6,11,8,0,3
372,27,472,1,1,3,60,2,2,1,4298,9679,5,13,4,3,1,6,1,3,2,2,2,0,2149,1
373,36,884,23,2,3,41,4,2,4,2571,12290,4,11,3,3,1,17,3,3,5,2,0,3,1285,5
374,44,921,2,3,3,96,4,3,4,7879,14810,1,13,3,2,1,9,2,3,8,7,6,7,3939,5
375,33,530,16,3,3,36,3,2,4,5368,16130,1,19,4,3,1,7,2,3,6,5,1,2,2684,4
376,40,1479,24,3,2,100,4,4,2,13194,17071,4,10,3,4,0,22,2,2,1,0,0,0,3298,4
377,29,1370,3,1,2,87,3,1,1,4723,16213,1,12,3,4,0,10,3,3,10,9,1,5,2361,1
378,29,1413,1,1,2,42,3,3,4,7918,6599,1,8,3,4,1,11,5,3,11,10,4,1,0,2
379,40,676,9,4,4,86,3,1,1,2018,21831,3,8,3,2,0,15,3,1,5,4,1,0,504,1
380,49,1418,1,3,3,36,3,1,1,3580,10554,2,10,3,2,1,7,2,3,4,2,0,2,1790,1
381,40,1151,9,5,4,63,2,2,4,4876,14242,9,8,3,4,1,5,5,1,3,2,0,2,2438,3
382,34,937,1,3,1,32,3,3,4,9888,6770,1,15,4,1,0,14,3,2,14,8,2,1,0,2
383,41,548,9,4,3,94,3,1,1,2289,20520,1,14,4,2,2,5,2,3,5,3,0,4,1144,4
384,34,829,15,3,2,71,3,4,1,17007,11929,7,8,3,4,2,16,3,2,14,8,6,9,0,3
385,48,1355,4,4,3,78,2,3,3,10999,22245,7,8,3,2,0,27,3,3,15,11,4,8,5499,4
386,51,1405,11,2,4,82,2,4,2,13142,24439,3,10,3,2,0,29,1,2,5,2,0,3,6571,3
387,36,1434,8,4,1,76,2,3,1,7587,14229,1,9,3,2,0,10,1,3,10,7,0,9,3793,1
388,34,1381,4,4,3,72,3,2,3,6538,12740,9,9,3,1,1,6,3,3,3,2,1,2,3269,3
389,39,672,7,2,3,54,2,5,4,19272,21141,1,9,3,1,1,21,2,3,21,9,13,3,1869,4
390,42,188,29,3,2,56,1,2,4,4272,9558,4,13,4,1,0,16,3,3,1,0,0,0,2136,5
391,55,452,1,3,4,81,3,5,1,19045,18938,0,8,3,3,0,37,2,3,36,10,4,13,0,1
392,30,921,1,3,4,38,1,1,3,3833,24375,3,15,4,3,2,7,2,3,2,2,0,2,1916,3
393,55,189,26,4,3,71,4,5,2,19636,25811,4,12,3,1,1,35,0,3,10,9,1,4,6175,4
394,45,950,28,3,4,97,3,1,4,2132,4585,4,14,3,4,1,8,3,3,5,4,0,3,1066,5
395,46,1402,2,3,3,69,3,4,1,17048,24097,8,17,4,1,0,28,2,3,26,15,15,9,7049,2
396,42,555,26,3,3,77,3,4,2,13525,14864,5,8,3,4,1,23,2,4,20,4,4,8,1339,4
397,40,1194,2,4,3,98,3,1,3,2001,12549,2,8,3,2,3,20,2,3,5,3,0,2,1000,1
398,50,316,8,4,4,54,3,1,2,3875,9983,7,9,3,4,1,4,2,3,2,2,2,2,1937,2
399,45,589,2,4,3,67,3,2,3,5154,19665,4,16,4,2,2,10,3,4,8,7,5,7,2577,3
400,38,1327,2,2,4,39,2,2,4,5249,19682,3,12,3,4,1,13,0,3,8,7,7,5,2624,3
401,35,1029,16,3,4,91,2,3,2,8606,21195,1,13,4,4,0,11,3,1,11,8,3,3,4303,4
402,28,890,2,4,3,46,3,1,3,4382,16374,6,11,3,4,0,5,3,2,2,2,2,1,1095,3
403,60,1499,28,3,3,80,2,3,1,10266,2845,4,13,4,4,0,22,5,4,18,13,13,11,0,4
404,38,1186,3,4,3,44,3,1,3,2821,2997,3,10,3,1,1,8,2,3,2,2,2,2,176,2
405,25,810,8,3,4,57,4,2,2,4851,15678,0,16,4,3,1,4,4,3,3,2,1,2,2425,3
406,43,531,4,4,4,56,2,3,4,10231,20364,3,8,3,4,0,23,3,4,21,7,15,17,5115,3
407,43,782,6,4,2,50,2,4,4,16627,2671,4,8,3,3,1,21,3,2,1,0,0,0,0,3
408,50,1115,1,3,1,73,3,5,2,18172,9755,3,13,4,1,0,28,1,2,8,3,0,7,0,2
409,25,883,26,1,3,32,3,2,4,6180,22807,1,17,4,2,0,6,5,2,6,5,1,4,3090,4
410,33,516,8,5,4,69,3,2,3,6388,22049,2,11,3,1,0,14,6,3,0,0,0,0,3194,4
411,36,852,5,4,2,82,2,1,1,3419,13072,9,8,3,4,1,6,3,4,1,1,0,0,1709,2
412,28,1423,1,3,1,72,2,1,3,1563,12530,1,8,3,4,1,1,2,1,1,0,0,0,781,4
413,43,589,14,2,2,94,3,4,1,17159,5200,6,18,4,3,1,22,3,3,4,1,1,0,0,4
414,37,408,19,2,2,73,3,1,2,3022,10227,4,15,4,1,0,8,1,3,1,0,0,0,1511,3
415,35,750,28,3,2,46,4,2,3,3407,25348,1,11,3,4,2,10,3,2,10,9,6,8,1703,5
416,26,474,3,3,1,89,3,1,4,2061,11133,1,15,4,1,0,1,5,3,1,0,0,0,1030,3
417,44,1313,7,3,2,31,3,5,4,19049,3549,0,8,3,4,1,23,4,2,22,7,1,10,0,4
418,38,723,2,4,2,77,1,2,4,5405,4244,2,14,4,1,2,20,4,2,4,2,0,3,0,3
419,32,427,1,3,1,33,3,2,4,6162,10877,1,16,4,2,1,9,3,3,9,8,7,8,3081,5
420,40,1469,9,4,4,35,3,1,2,3617,25063,8,8,3,4,1,3,2,3,1,1,0,0,1808,3
421,55,267,13,4,1,85,4,4,3,13695,9277,6,11,3,3,0,24,2,2,19,7,3,8,0,4
422,26,1349,23,3,1,90,3,1,4,2886,3032,1,16,4,2,2,3,3,1,3,2,0,2,146,5
423,52,266,2,1,1,57,1,5,4,19845,25846,1,9,3,4,1,33,3,3,32,14,6,9,4961,3
424,32,1018,2,4,1,74,4,2,4,5055,10557,7,10,3,3,0,10,0,2,7,7,0,7,2527,4
425,29,718,8,1,2,79,2,2,4,5056,17689,1,9,3,3,1,10,2,2,10,7,1,2,2528,3
426,53,607,2,5,3,78,2,3,4,10169,14618,0,10,3,2,1,34,4,3,33,7,1,9,2542,4
427,28,1172,3,3,2,78,3,1,2,2856,3692,1,13,4,4,1,1,3,3,1,0,0,0,836,2
428,54,157,10,3,3,77,3,2,1,4440,25198,6,13,4,4,0,9,3,3,5,2,1,4,2220,3
429,54,1050,11,4,2,87,3,4,4,16032,24456,3,14,4,1,1,26,2,3,14,9,1,12,8016,4
430,36,1351,26,4,1,80,3,2,3,5347,7419,6,8,3,2,2,10,2,2,3,2,0,2,2072,5
431,22,594,2,1,3,100,3,1,4,2523,19299,0,8,3,3,1,3,2,3,2,1,2,1,1261,3
432,34,1400,9,1,2,70,3,2,3,5714,5829,1,14,4,1,0,6,3,2,6,5,1,3,115,2
433,40,118,14,2,4,84,3,2,1,4639,11262,1,9,3,3,1,5,2,3,5,4,1,2,2319,2
434,29,1252,23,2,3,81,4,1,3,2700,23779,1,18,4,3,1,10,3,3,10,7,0,7,1350,5
435,38,343,15,2,3,92,2,3,4,11510,15682,0,8,3,2,1,12,3,3,11,10,2,9,4172,3
436,38,148,2,3,4,42,2,1,2,2440,23826,1,16,4,2,0,4,3,3,4,3,3,3,1220,2
437,38,471,12,3,1,45,2,2,1,6288,4284,2,9,3,3,1,13,3,2,4,3,1,2,0,3
438,33,586,1,3,1,48,4,2,1,4037,21816,1,16,4,1,1,9,5,3,9,8,0,8,2018,1
439,30,829,1,1,3,88,2,3,3,8474,20925,1,16,4,3,0,12,2,3,11,8,5,8,4237,3
440,28,1158,9,3,4,94,3,1,4,2070,2613,1,17,4,4,1,5,3,2,5,2,0,4,543,4
441,29,694,1,3,4,87,2,4,4,16124,3423,3,8,3,2,2,9,2,2,7,7,1,7,0,4
442,26,390,17,4,4,62,1,1,3,2305,6217,1,9,3,3,3,3,3,4,3,2,0,2,1152,4
443,36,894,1,4,4,33,2,2,3,4374,15411,0,9,3,3,0,4,6,3,3,2,1,2,2187,2
444,48,492,16,4,3,96,3,2,3,6439,13693,8,8,3,3,1,18,2,3,8,7,7,7,3219,4
445,30,1400,3,3,3,53,3,1,4,2097,16734,4,9,3,3,1,9,3,1,5,3,1,4,1048,4
446,47,1379,16,4,3,64,4,2,3,5067,6759,1,13,4,3,0,20,3,4,19,10,2,7,1692,5
447,30,1329,29,4,3,61,3,2,1,4115,13192,8,13,4,3,3,8,3,3,4,3,0,3,2057,5
448,34,665,6,4,1,41,3,2,3,4809,12482,1,8,3,3,0,16,3,3,16,13,2,10,2404,2
449,28,1476,16,2,2,68,4,2,1,5661,4824,0,13,4,3,0,9,2,3,8,3,0,7,0,2
450,34,1333,10,4,3,87,3,1,3,2220,18410,1,13,3,4,1,1,2,3,1,1,0,0,1110,2
451,36,1040,3,2,4,79,4,2,1,6842,26308,6,14,4,1,1,13,3,3,5,4,0,4,3421,3
452,43,1344,7,3,4,37,4,1,4,2089,5228,4,8,3,4,3,7,3,4,5,4,2,2,1044,3
453,45,176,4,3,3,56,1,3,3,9756,6595,4,15,4,3,2,9,2,4,5,0,0,3,0,3
454,31,1274,9,1,3,33,3,3,2,10648,14394,1,19,4,4,1,13,6,4,13,8,0,8,3746,3
455,37,161,10,3,3,42,4,3,4,13744,15471,1,19,4,1,1,16,2,3,16,11,6,8,1727,4
456,57,334,24,2,3,83,4,3,4,9439,23402,3,10,3,2,1,12,2,1,5,3,1,4,4719,4
457,53,970,7,3,3,59,4,4,3,14814,13514,3,13,4,3,0,32,3,3,5,1,1,3,0,3
458,45,1457,7,3,1,83,3,1,3,4477,20100,4,13,3,3,1,7,2,2,3,2,0,2,2238,3
459,52,319,3,3,4,39,2,3,3,7969,19609,2,8,3,3,0,28,4,3,5,4,0,4,3984,2
460,32,801,1,4,3,48,3,3,4,10422,24032,1,13,4,3,2,14,3,3,14,10,5,7,5211,4
461,22,1256,19,1,3,80,3,1,4,2323,11992,1,18,4,1,2,2,6,3,2,2,2,2,1161,5
462,29,598,9,3,3,91,4,1,3,2451,22376,6,12,3,1,2,5,2,2,1,0,0,0,1225,3
463,41,933,9,4,3,94,3,1,1,2238,6961,2,15,4,4,1,7,2,3,5,0,1,4,1119,3
464,46,1125,10,3,3,94,2,3,4,9071,11563,2,13,4,3,1,15,3,3,3,2,1,2,2492,3
465,58,781,2,1,4,57,2,1,4,2380,13384,9,8,3,4,1,3,3,2,1,0,0,0,595,2
466,27,728,23,1,2,36,2,2,3,3540,7018,1,15,4,4,1,9,5,3,9,8,5,8,1770,4
467,40,448,16,3,3,84,3,3,4,7945,19948,6,9,3,4,0,18,2,2,4,2,3,3,3972,5
468,29,746,2,3,4,61,3,2,3,4649,16928,1,8,3,1,1,4,3,2,4,3,0,2,2324,3
469,59,1324,3,3,3,81,4,1,1,2670,9964,4,14,4,1,3,12,3,2,1,0,0,0,1335,2
470,55,1091,2,1,4,65,3,3,2,10976,15813,3,12,3,2,1,23,4,3,3,2,1,2,4837,2
471,19,602,1,1,3,100,1,1,1,2325,20989,0,15,3,1,0,1,5,4,0,0,0,0,581,3
472,37,228,6,4,3,98,3,2,4,6502,22825,4,8,3,2,1,7,5,4,5,4,0,1,3251,4
473,44,383,1,5,1,79,3,2,3,4768,9282,7,6,3,3,1,11,4,2,1,0,0,0,2384,3
474,51,313,3,3,4,98,3,4,2,13734,7192,3,12,3,3,0,21,6,3,7,7,1,0,0,2
475,21,251,10,2,1,45,2,1,3,2625,25308,1,14,4,3,0,2,2,1,2,2,2,2,656,3
476,27,269,5,1,3,42,2,3,4,12808,8842,1,10,3,2,1,9,3,3,9,8,0,8,0,4
477,35,528,8,4,3,100,3,1,3,4323,7108,1,11,3,2,0,6,2,1,5,4,1,4,2161,3
478,21,895,9,2,1,39,3,1,4,2610,2851,1,18,3,3,0,3,3,2,3,2,2,2,241,3
479,31,587,2,4,4,57,3,3,3,9852,8935,1,13,4,1,1,10,5,2,10,8,9,6,0,4
480,51,968,6,2,2,40,2,1,3,2838,4257,0,8,3,2,0,8,6,2,7,0,7,7,1419,3
481,29,121,27,3,2,35,3,3,4,7639,24525,1,16,4,4,3,10,3,2,10,4,1,9,1909,0
482,31,1463,23,3,2,64,2,2,4,5582,14408,0,15,4,2,1,10,2,3,9,0,7,8,2791,5
483,50,264,9,3,3,59,3,5,3,19331,19519,4,10,3,3,1,27,2,3,1,0,0,0,188,3
484,35,185,23,4,2,91,1,1,3,2705,9696,0,10,3,2,1,6,2,4,5,4,0,3,1352,5
485,52,585,29,4,1,40,3,1,4,3482,19788,2,9,3,2,2,16,3,2,9,8,0,0,1741,5
486,37,1413,5,2,3,84,4,1,3,3500,25470,0,8,3,1,0,7,2,1,6,5,1,3,1750,3
487,41,143,4,3,1,56,3,2,2,9355,9558,1,12,3,3,0,8,5,3,8,7,7,7,203,1
488,28,1451,2,1,1,67,2,1,2,3201,19911,0,11,3,1,0,6,2,1,5,3,0,4,1600,2
489,20,1141,2,3,3,31,3,1,3,2783,13251,1,13,4,1,0,2,3,3,2,2,2,2,1391,4
490,34,546,10,3,2,83,3,1,2,2008,6896,1,8,3,2,2,1,3,3,1,0,1,0,1004,3
491,40,791,2,2,3,38,4,2,2,4244,9931,1,18,4,4,1,8,2,3,8,7,3,7,2122,3
492,21,546,5,1,3,97,3,1,4,3117,26009,1,12,3,3,0,3,2,3,2,2,2,2,1558,3
493,43,185,10,4,3,33,3,1,4,2455,10675,0,13,4,1,0,9,5,3,8,7,1,7,1227,4
494,37,671,19,3,3,85,3,2,3,5768,26493,3,11,3,1,3,9,2,2,4,3,0,2,2884,4
495,34,1239,13,4,4,39,3,3,3,8628,22914,1,12,2,3,1,9,2,2,8,7,1,1,1294,3
496,28,857,10,3,3,59,3,2,3,3660,7909,3,7,2,4,0,10,4,4,8,7,1,7,549,2
497,31,853,1,1,3,96,3,2,1,4148,11275,1,6,2,3,1,4,1,3,4,3,0,3,622,1
498,29,1092,1,4,1,36,3,1,4,4787,26124,9,8,2,2,3,4,3,4,2,2,2,2,239,2
